Rk,Player,WAR,Season,Player-additional
383,Brooks Robinson,7.7,1967,robinbr01
384,Tris Speaker,7.7,1917,speaktr01
385,Ken Williams,7.7,1923,willike01
386,Bill Terry,7.7,1932,terrybi01
387,Chone Figgins,7.7,2009,figgich01
388,Ron Santo,7.7,1965,santoro01
389,Mike Schmidt,7.7,1981,schmimi01
390,Jose Altuve,7.7,2017,altuvjo01
391,Jeff Bagwell,7.7,1997,bagweje01
392,Paul Goldschmidt,7.7,2022,goldspa01
393,Ron Hansen,7.7,1964,hansero02
394,Frank Robinson,7.7,1966,robinfr02
395,Mike Schmidt,7.7,1975,schmimi01
396,Frank Robinson,7.7,1961,robinfr02
397,Rocky Colavito,7.6,1961,colavro01
398,Joe Jackson,7.6,1913,jacksjo01
399,Nap Lajoie,7.6,1907,lajoina01
400,Darrell Porter,7.6,1979,porteda02
401,Honus Wagner,7.6,1903,wagneho01
402,Miguel Cabrera,7.6,2011,cabremi01
403,Stan Musial,7.6,1953,musiast01
404,Jesse Barfield,7.6,1986,barfije01
405,George Brett,7.6,1977,brettge01
406,John Olerud,7.6,1998,olerujo01
407,Duke Snider,7.6,1956,snidedu01
408,Ben Zobrist,7.6,2011,zobribe01
409,Ken Caminiti,7.6,1996,caminke01
410,Chipper Jones,7.6,2007,jonesch06
411,Kenny Lofton,7.6,1993,loftoke01
412,Tim Raines,7.6,1985,raineti01
413,Doug DeCinces,7.6,1982,decindo01
414,Keith Hernandez,7.6,1979,hernake01
415,Willie Mays,7.6,1956,mayswi01
416,Álex Rodríguez,7.6,2004,rodrial01
417,Matt Chapman,7.6,2018,chapmma01
418,Carlos Gómez,7.6,2013,gomezca01
419,Jim Rice,7.6,1978,riceji01
420,Buster Posey,7.6,2012,poseybu01
421,Roger Connor,7.6,1888,connoro01
422,Curtis Granderson,7.6,2007,grandcu01
423,Hank Greenberg,7.6,1937,greenha01
424,Joe Jackson,7.5,1920,jacksjo01
425,Ted Williams,7.5,1954,willite01
426,George Brett,7.5,1976,brettge01
427,Derek Jeter,7.5,1998,jeterde01
428,Albert Pujols,7.5,2010,pujolal01
429,Frank Robinson,7.5,1969,robinfr02
430,Dick Allen,7.5,1966,allendi01
431,Barry Bonds,7.5,1995,bondsba01
432,Lou Gehrig,7.5,1929,gehrilo01
433,Mike Greenwell,7.5,1988,greenmi01
434,Hughie Jennings,7.5,1895,jennihu01
435,Al Kaline,7.5,1967,kalinal01
436,Roger Maris,7.5,1960,marisro01
437,Joe Sewell,7.5,1923,seweljo01
438,Jim Thome,7.5,1996,thomeji01
439,Johnny Mize,7.5,1947,mizejo01
440,Vada Pinson,7.5,1961,pinsova01
441,Cal Ripken Jr.,7.5,1990,ripkeca01
442,Goose Goslin,7.5,1928,gosligo01
443,Graig Nettles,7.5,1971,nettlgr01
444,Jeff Bagwell,7.5,1996,bagweje01
445,Miguel Cabrera,7.5,2013,cabremi01
446,Hank Greenberg,7.5,1935,greenha01
447,Chuck Klein,7.5,1932,kleinch01
448,Manny Machado,7.5,2015,machama01
449,Mark McGwire,7.5,1998,mcgwima01
450,Stan Musial,7.5,1952,musiast01
451,Hughie Jennings,7.5,1898,jennihu01
452,Johnny Mize,7.5,1939,mizejo01
453,Rod Carew,7.5,1974,carewro01
454,Roberto Clemente,7.5,1969,clemero01
455,Jimmie Foxx,7.5,1938,foxxji01
456,Frankie Frisch,7.5,1924,friscfr01
457,José Ramírez,7.5,2018,ramirjo01
458,Gary Carter,7.5,1984,cartega01
459,Andre Dawson,7.5,1981,dawsoan01
460,Jeff Bagwell,7.4,1999,bagweje01
461,Dave Bancroft,7.4,1921,bancrda01
462,Johnny Bench,7.4,1970,benchjo01
463,Pee Wee Reese,7.4,1949,reesepe01
464,Ken Boyer,7.4,1959,boyerke01
465,Nick Markakis,7.4,2008,markani01
466,Lefty O'Doul,7.4,1929,o'doule01
467,Roberto Alomar,7.4,1999,alomaro01
468,Vladimir Guerrero,7.4,1998,guerrvl01
469,Bob Allison,7.4,1963,allisbo01
470,Ty Cobb,7.4,1913,cobbty01
471,Nomar Garciaparra,7.4,2000,garcino01
472,Andruw Jones,7.4,1998,jonesan01
473,Fred Lynn,7.4,1975,lynnfr01
474,Tommy Harper,7.4,1970,harpeto01
475,Dickie Thon,7.4,1983,thondi01
476,Andrés Giménez,7.4,2022,gimenan01
477,Jim Thome,7.4,2002,thomeji01
478,Hack Wilson,7.4,1930,wilsoha01
479,Amos Otis,7.4,1978,otisam01
480,Mike Schmidt,7.4,1982,schmimi01
481,Al Simmons,7.4,1931,simmoal01
482,Jim Wynn,7.4,1965,wynnji01
483,César Cedeño,7.4,1973,cedence01
484,Johnny Mize,7.4,1940,mizejo01
485,Matt Olson,7.4,2023,olsonma02
486,Jackie Robinson,7.4,1950,robinja02
487,Marcus Semien,7.4,2023,semiema01
488,Miguel Tejada,7.4,2004,tejadmi01
489,Art Fletcher,7.4,1917,fletcar01
490,Eddie Mathews,7.4,1957,matheed01
491,Dave Parker,7.4,1977,parkeda01
492,Luke Appling,7.4,1943,applilu01
493,Brett Gardner,7.4,2010,gardnbr01
494,Home Run Baker,7.3,1914,bakerfr01
495,Robinson Canó,7.3,2016,canoro01
496,Manny Machado,7.3,2016,machama01
497,Hanley Ramírez,7.3,2009,ramirha01
498,Ryan Zimmerman,7.3,2009,zimmery01
499,Henry Aaron,7.3,1958,aaronha01
500,Frank Chance,7.3,1906,chancfr01
501,Bobby Grich,7.3,1974,grichbo01
502,Chipper Jones,7.3,2008,jonesch06
503,Manny Ramírez,7.3,1999,ramirma02
504,Hughie Jennings,7.3,1897,jennihu01
505,Heinie Manush,7.3,1928,manushe01
506,Roberto Alomar,7.3,2001,alomaro01
507,Ed Delahanty,7.3,1896,delahed01
508,Eddie Mathews,7.3,1960,matheed01
509,Kris Bryant,7.3,2016,bryankr01
510,Chase Utley,7.3,2006,utleych01
511,King Kelly,7.3,1886,kellyki01
512,Lloyd Moseby,7.3,1984,mosebll01
513,Ozzie Smith,7.3,1989,smithoz01
514,Arky Vaughan,7.3,1934,vaughar01
515,Carlton Fisk,7.3,1972,fiskca01
516,Bobby Grich,7.3,1975,grichbo01
517,Eddie Mathews,7.3,1961,matheed01
518,Magglio Ordóñez,7.3,2007,ordonma01
519,Mookie Betts,7.3,2019,bettsmo01
520,José Canseco,7.3,1988,cansejo01
521,Carlos Delgado,7.3,2000,delgaca01
522,Frank Thomas,7.3,1997,thomafr04
523,Nolan Arenado,7.3,2019,arenano01
524,Charlie Gehringer,7.3,1933,gehrich01
525,Alex Gordon,7.3,2011,gordoal01
526,Brian Roberts,7.3,2005,roberbr01
527,Chase Utley,7.3,2005,utleych01
528,Christian Yelich,7.3,2018,yelicch01
529,Lou Boudreau,7.3,1947,boudrlo01
530,Honus Wagner,7.3,1902,wagneho01
531,Robin Yount,7.3,1983,yountro01
532,Adrian Beltré,7.2,2012,beltrad01
533,Roberto Clemente,7.2,1971,clemero01
534,Roberto Clemente,7.2,1964,clemero01
535,Carlos Correa,7.2,2021,correca01
536,Josh Donaldson,7.2,2013,donaljo02
537,Josh Donaldson,7.2,2016,donaljo02
538,Darrell Evans,7.2,1974,evansda01
539,Stan Musial,7.2,1950,musiast01
540,Mel Ott,7.2,1935,ottme01
541,Mel Ott,7.2,1929,ottme01
542,Billy Herman,7.2,1936,hermabi01
543,Kenny Lofton,7.2,1994,loftoke01
544,Eddie Mathews,7.2,1955,matheed01
545,Don Mattingly,7.2,1986,mattido01
546,Thurman Munson,7.2,1973,munsoth01
547,Willie Stargell,7.2,1973,stargwi01
548,Mark Teixeira,7.2,2005,teixema01
549,Henry Aaron,7.2,1971,aaronha01
550,George Davis,7.2,1905,davisge01
551,Luke Appling,7.2,1936,applilu01
552,Billy Herman,7.2,1935,hermabi01
553,Mel Ott,7.2,1934,ottme01
554,Jim Edmonds,7.2,2004,edmonji01
555,Evan Longoria,7.2,2011,longoev01
556,John Mayberry,7.2,1975,maybejo01
557,George Davis,7.2,1904,davisge01
558,Barry Larkin,7.2,1996,larkiba01
559,Yadier Molina,7.2,2012,molinya01
560,Tony Pérez,7.2,1970,perezto01
561,Johnny Pesky,7.2,1946,peskyjo01
562,Paul Waner,7.2,1936,wanerpa01
563,Lance Johnson,7.2,1996,johnsla03
564,Mel Ott,7.2,1942,ottme01
565,Carlos Peña,7.2,2007,penaca01
566,Zoilo Versalles,7.2,1965,versazo01
567,Honus Wagner,7.2,1901,wagneho01
568,Roberto Clemente,7.2,1965,clemero01
569,Jeff Kent,7.2,2000,kentje01
570,Francisco Lindor,7.2,2018,lindofr01
571,Henry Aaron,7.2,1956,aaronha01
572,Jesse Burkett,7.2,1901,burkeje01
573,Lou Gehrig,7.2,1933,gehrilo01
574,Miguel Cabrera,7.1,2012,cabremi01
575,Earle Combs,7.1,1927,combsea01
576,Eddie Lake,7.1,1945,lakeed01
577,Joe Medwick,7.1,1936,medwijo01
