Rk,Player,WAR,Player-additional
568,Mike Hargrove,30.4,hargrmi01
569,Gary Matthews,30.4,matthga01
570,Joe Kuhel,30.3,kuheljo01
571,José Abreu,30.3,abreujo02
572,Bobby Bonilla,30.2,bonilbo01
573,Lance Johnson,30.2,johnsla03
574,Elmer Smith,30.2,smithel01
575,Kevin McReynolds,30.1,mcreyke01
576,Sherm Lollar,30.1,lollash01
577,John Titus,30.0,titusjo01
578,Buck Leonard,30.0,leonabu99
579,Del Ennis,30.0,ennisde01
580,Von Hayes,29.9,hayesvo01
581,Pete Runnels,29.9,runnepe01
582,DJ LeMahieu,29.8,lemahdj01
583,Lloyd Waner,29.8,wanerll01
584,Hal Trosky,29.8,troskha01
585,Brandon Belt,29.7,beltbr01
586,Phil Garner,29.7,garneph01
587,Javy López,29.7,lopezja01
588,Asdrúbal Cabrera,29.6,cabreas01
589,Marquis Grissom,29.6,grissma02
590,Bing Miller,29.6,millebi02
591,Brian Roberts,29.5,roberbr01
592,Raúl Mondesi,29.5,mondera01
593,Charles Zimmer,29.4,zimmech01
594,Brandon Crawford,29.4,crawfbr01
595,Mickey Tettleton,29.3,tettlmi01
596,Jim Piersall,29.3,piersji01
597,Ray Chapman,29.3,chapmra01
598,Tom Haller,29.3,halleto01
599,Buddy Lewis,29.3,lewisbu01
600,Jayson Werth,29.2,werthja01
601,Kevin Mitchell,29.1,mitchke01
602,Luis Castillo,29.1,castilu01
603,George Hendrick,29.1,hendrge01
604,Johnny Kling,29.1,klingjo01
605,Mike Donlin,29.0,donlimi01
606,Tino Martinez,29.0,martiti02
607,Benny Kauff,29.0,kauffbe01
608,Red Rolfe,28.9,rolfere01
609,Coco Crisp,28.9,crispco01
610,Baby Doll Jacobson,28.9,jacobba01
611,Elmer Valo,28.9,valoel01
612,Kevin Seitzer,28.8,seitzke01
613,John Anderson,28.8,anderjo01
614,Bob Bailey,28.8,bailebo01
615,Matt Carpenter,28.8,carpema01
616,Edgardo Alfonzo,28.7,alfoned01
617,Ossie Bluege,28.7,bluegos01
618,Billy Jurges,28.7,jurgebi01
619,Henry Larkin,28.7,larkihe01
620,Shohei Ohtani,28.7,ohtansh01
621,Vernon Wells,28.6,wellsve01
622,Alfonso Soriano,28.6,soriaal01
623,Freddie Lindstrom,28.5,lindsfr01
624,Don Baylor,28.5,baylodo01
625,Brandon Phillips,28.4,phillbr01
626,Bobby Ávila,28.4,avilabo01
627,Jack Rowe,28.4,roweja01
628,Terry Pendleton,28.3,pendlte01
629,Terry Puhl,28.3,puhlte01
630,Bob Meusel,28.3,meusebo01
631,Tim McCarver,28.3,mccarti01
632,Carlos Lee,28.3,leeca01
633,Sixto Lezcano,28.3,lezcasi01
634,Melvin Mora,28.2,morame01
635,Bob Watson,28.2,watsobo01
636,Rondell White,28.2,whitero02
637,César Tovar,28.2,tovarce01
638,Josh Hamilton,28.2,hamiljo03
639,Paul Konerko,28.1,konerpa01
640,J.J. Hardy,28.1,hardyjj01
641,Ross Barnes,28.0,barnero01
642,Denis Menke,28.0,menkede01
643,Del Crandall,28.0,crandde01
644,Terry Steinbach,28.0,steinte01
645,Roy Smalley,27.9,smallro02
646,Amos Strunk,27.9,strunam01
647,Hal McRae,27.9,mcraeha01
648,Denard Span,27.9,spande01
649,Jackie Jensen,27.8,jenseja01
650,Garry Templeton,27.8,templga01
651,Dave Orr,27.8,orrda01
652,Clete Boyer,27.8,boyercl02
653,Grady Sizemore,27.8,sizemgr01
654,Carlos Guillén,27.7,guillca01
655,Marcell Ozuna,27.7,ozunama01
656,Martín Prado,27.7,pradoma01
657,Tip O'Neill,27.6,o'neiti01
658,Dave Henderson,27.6,hendeda01
659,Lloyd Moseby,27.6,mosebll01
660,Chris Chambliss,27.5,chambch01
661,Randy Winn,27.5,winnra01
662,Manny Sanguillén,27.5,sanguma01
663,Buck Herzog,27.5,herzobu01
664,Kris Bryant,27.5,bryankr01
665,Snuffy Stirnweiss,27.4,stirnsn01
666,Lee May,27.4,mayle01
667,Bob Boone,27.4,boonebo01
668,Davey Johnson,27.4,johnsda02
669,Benito Santiago,27.4,santibe01
670,Álex Ríos,27.3,riosal01
671,Ferris Fain,27.2,fainfe01
672,Ed Bailey,27.2,baileed01
673,Leo Cárdenas,27.2,cardele01
674,Billy Goodman,27.2,goodmbi01
675,Walker Cooper,27.2,coopewa01
676,Hank Bauer,27.1,bauerha01
677,Lefty O'Doul,27.1,o'doule01
678,Bill Skowron,27.1,skowrbi01
679,Woody English,27.1,engliwo01
680,Mo Vaughn,27.1,vaughmo01
681,Willson Contreras,27.1,contrwi01
682,Tony González,27.0,gonzato01
683,Vic Wertz,27.0,wertzvi01
684,Elston Howard,27.0,howarel01
685,Justin Morneau,27.0,morneju01
686,John Stone,27.0,stonejo01
687,Red Smith,26.9,smithre02
688,Mike Bordick,26.8,bordimi01
689,Jack Clements,26.8,clemeja01
690,Bill North,26.8,northbi01
691,Yunel Escobar,26.8,escobyu01
692,Ryan Klesko,26.7,kleskry01
693,Tom Daly,26.7,dalyto01
694,Butch Wynegar,26.5,wynegbu01
695,Mark Grudzielanek,26.5,grudzma01
696,Willie Horton,26.4,hortowi01
